Internship Title,Company Name,Location,Start Date,Duration,Stipend,Apply By,Skills Required,Perks
Corporate Sales,Matrix Exports,Bangalore,Starts immediatelyImmediately,6 Months,"₹ 9,000 - 13,000 /month",16 May' 25,"Client Relationship Management (CRM), Document Management, English Proficiency (Spoken), Market research, Problem Solving, Sales Strategy, Certificate, Informal dress code, Free snacks & beverages",N/A
Bench Sales Recruitment,White Feather Consultancy Private Limited,Bhopal,Starts immediatelyImmediately,6 Months,"₹ 7,000 - 17,000 /month",16 May' 25,"Client Interaction, Effective Communication, Marketing, Resume screening, Certificate, Letter of recommendation, Informal dress code, 5 days a week, Job offer",N/A
Social Media Marketing,BoxFit Fitness,South                                                    (Hybrid),Starts immediatelyImmediately,3 Months,"₹ 10,000 /month",16 May' 25,"Canva, English Proficiency (Spoken), English Proficiency (Written), Social Media Marketing, Video Editing, Certificate, Letter of recommendation, Informal dress code",N/A
Creative Design,The G Story,Mumbai,Starts immediatelyImmediately,4 Months,"₹ 5,000 - 10,000 /month",16 May' 25,"Creative Direction, Certificate, Letter of recommendation, Informal dress code, 5 days a week",N/A
Social Media Marketing,Awaywegoo Travel & Languages Private Limited,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 5,000 - 6,000 /month",16 May' 25,"Canva, Creative Thinking, Creative Writing, English Proficiency (Written), Social Media Marketing, Video Editing, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Free snacks & beverages",N/A
Social Media Marketing,Growth Macro,Work from home,Starts immediatelyImmediately,2 Months,"₹ 5,000 - 10,000 /month",16 May' 25,"English Proficiency (Spoken), English Proficiency (Written), Instagram Marketing, Social Media Marketing, Video Editing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Social Media Marketing,Innotical Solutions Private Limited,"Delhi, Noida                                                    (Hybrid)",Starts immediatelyImmediately,6 Months,"₹ 6,000 - 10,000 /month",16 May' 25,"Digital Marketing, English Proficiency (Written), Facebook Marketing, Instagram Marketing, Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, Informal dress code",N/A
Reels Creator & Actor,GREENOBEAN,Work from home,Starts immediatelyImmediately,6 Months,"₹ 6,000 - 8,000 /month",16 May' 25,"Acting, Anchoring, Collaboration, Effective Communication, Instagram Marketing, Video Editing, Video Making, Certificate, Letter of recommendation, Flexible work hours",N/A
Business Development (Sales),Dotnitron,Work from home,Starts immediatelyImmediately,6 Weeks,"₹ 5,000 /month",16 May' 25,"Customer Acquisition, Data Analysis, Effective Communication, Market research, Networking, Sales, Certificate, Letter of recommendation, Flexible work hours",N/A
Graphic Design,SRF Staffing And Recruitment Industry Federation                                  NGO,Work from home,Starts immediatelyImmediately,2 Months,Unpaid,16 May' 25,"Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe Premiere Pro, Canva, CorelDRAW, Video Editing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Event Management,SRF Staffing And Recruitment Industry Federation                                  NGO,Navi Mumbai                                                    (Hybrid),Starts immediatelyImmediately,3 Months,Unpaid,16 May' 25,"English Proficiency (Spoken), English Proficiency (Written), Event Management, MS-Office, MS-PowerPoint, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Business Development (Sales),Code Brackets Software Solutions Private Limited,Kolkata,Starts immediatelyImmediately,3 Months,"₹ 5,000 /month",16 May' 25,"Marketing, Sales, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages, Job offer",N/A
Front End Development,Factacy.Ai,Gurgaon,Starts immediatelyImmediately,3 Months,"₹ 15,000 /month",16 May' 25,"CSS, HTML, JavaScript, React, Redux, REST API, Tailwind CSS, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week",N/A
Large Language Model Researcher,ConversAIlabs,Work from home,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 5,001 /month",16 May' 25,"Artificial intelligence, LLMOps",N/A
Apparel Merchandising,The Wishing Closet,Gurgaon,Starts immediatelyImmediately,2 Months,"₹ 8,000 /month",16 May' 25,"Inventory Management, MS-Excel, Quality Assurance/Quality Control (QA/QC), Informal dress code",N/A
Political Strategy,IDOVIN STRATEGIES PRIVATE LIMITED,Work from home,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 8,000 /month",16 May' 25,"Collaboration, Effective Communication, Google Drive, Google Forms, Google Sheets, Interpersonal skills, MS-Excel, Certificate, Letter of recommendation, Flexible work hours",N/A
Video Editing/Making,Fabulous Media Private Limited,Gurgaon,Starts immediatelyImmediately,6 Months,"₹ 5,000 - 10,000 /month",16 May' 25,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Video Editing, Video Making, Certificate, Letter of recommendation, Informal dress code",N/A
Graphic Design,Fabulous Media Private Limited,Gurgaon,Starts immediatelyImmediately,6 Months,"₹ 5,000 - 10,000 /month",16 May' 25,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe Photoshop Lightroom CC, Adobe Premiere Pro, CorelDRAW, UI & UX Design, Video Editing, Certificate, Letter of recommendation, Informal dress code",N/A
Full Stack Development,Vyorius Drones Private Limited,Work from home,Starts immediatelyImmediately,2 Months,"₹ 3,000 - 5,000 /month",16 May' 25,"CSS3, Express.js, HTML, JavaScript, Jest, MongoDB, Node.js, React, Vite, Certificate, Letter of recommendation, Flexible work hours",N/A
Corporate Sales,CoverYou,Dehradun,Starts immediatelyImmediately,3 Months,"₹ 8,000 - 10,000 /month",16 May' 25,"English Proficiency (Spoken), Certificate, Letter of recommendation, Informal dress code",N/A
Marketing,RPSDF ENTERPRISES,Patna,Starts immediatelyImmediately,3 Months,"₹ 2,500 - 22,000 /month",16 May' 25,"Accounting, Field Work, Marketing, Sales, Certificate, Letter of recommendation, Informal dress code",N/A
Digital Marketing,ECodeSoft Solutions,Ahmedabad,Starts immediatelyImmediately,6 Months,"₹ 8,000 /month",16 May' 25,"Content Writing, Digital Marketing, Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Job offer",N/A
Data Engineering,Renan Partners,Work from home,Starts immediatelyImmediately,6 Months,"₹ 5,000 /month",16 May' 25,"Apache Kafka, Big Data Analytics, Google Cloud Platforms (GCP), Hadoop, MongoDB, MS SQL Server, Python, SQL, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer",N/A
Digital Marketing,Innovation99,Bangalore,Starts immediatelyImmediately,3 Months,"₹ 15,000 /month",16 May' 25,"Creative Writing, Digital Marketing, English Proficiency (Spoken), Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Video Editing, Video Making",N/A
Accounting & Taxation,Registration Arena,Pune,Starts immediatelyImmediately,6 Months,"₹ 4,000 - 6,000 /month",16 May' 25,"Accounting, Accounting Software, Bank Reconciliation, English Proficiency (Spoken), GST, MS-Excel, Tally, Taxation, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages",N/A
UGC Video Creator - (Content Creator),Dutta Innovations Private Limited,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,000 - 8,000 /month",16 May' 25,"Content Editing, Influencer Marketing, Video Editing, Videography, Video Making, Video Marketing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Import-Export & International Sales Executive,Matrix Exports,Bangalore,Starts immediatelyImmediately,6 Months,"₹ 8,000 /month",16 May' 25,"Canva, Effective Communication, MS-Excel, MS-Office, MS-Word, Time Management, Certificate, Letter of recommendation, Flexible work hours",N/A
Talent Acquisition,Hir'd Services Private Limited,Indore,19 May - 30 May' 25,2 Months,"₹ 4,000 - 7,000 /month",16 May' 25,"Cold Calling, English Proficiency (Spoken), Human Resource Information System (HRIS), Human Resources, MS-Excel, Recruitment, Talent Management, Certificate, Letter of recommendation, Informal dress code",N/A
Inside Sales,Ramton Technologies Private Limited,Delhi,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 8,000 /month",16 May' 25,"Effective Communication, Interpersonal skills, Microsoft Outlook, MS-Excel, Certificate, 5 days a week",N/A
Operations Executive,Travel Villa,Jaipur,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 5,001 /month",16 May' 25,"Effective Communication, Job offer",N/A
Business Development (Sales),Databridge Market Research,Punewadi,Starts immediatelyImmediately,3 Months,"₹ 8,000 - 10,000 /month",16 May' 25,"Effective Communication, English Proficiency (Spoken), Interpersonal skills, MS-Excel, Certificate, Letter of recommendation, 5 days a week",N/A
Event Management,Adorn Events,Ahmedabad,Starts immediatelyImmediately,6 Months,"₹ 12,000 - 15,000 /month",16 May' 25,"English Proficiency (Spoken), Event Management, MS-Excel, MS-Office, MS-PowerPoint, Flexible work hours",N/A
Event Operation,ChkdIn,Bangalore,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 12,000 /month",16 May' 25,"Effective Communication, Problem Solving, Certificate, Letter of recommendation, 5 days a week, Job offer",N/A
Frontend Developer,Meteoros Automation,Chennai                                                    (Hybrid),Starts immediatelyImmediately,6 Months,"₹ 5,000 - 11,000 /month",16 May' 25,"Angular, CSS, Figma, HTML, React, REST API, ThreeJS, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week",N/A
Full Stack Development,UnifyXperts,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 15,000 /month",16 May' 25,"CSS, HTML, JavaScript, MySQL, Python, Job offer",N/A
Web development internship- kajabi and Go High Level Platforms,Chandrima Datta,Work from home,Starts immediatelyImmediately,3 Months,"₹ 6,000 - 8,000 /month",16 May' 25,"Automation, ChatGPT, CSS, Email Management, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), JavaScript, Web Design, Web Services, WordPress, Certificate, Flexible work hours, Job offer",N/A
Backend Development,Isourse,Delhi,Starts immediatelyImmediately,6 Months,"₹ 27,000 - 30,001 /month",16 May' 25,"APIs, Express.js, JSON, MERN, MS SQL Server, Next.js, Node.js, REST API, SQL, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages, Job offer",N/A
Content Creator,Kasturi And Co,Work from home,Starts immediatelyImmediately,2 Months,"₹ 8,000 - 10,000 /month",16 May' 25,"Content Management, Image Editing, Instagram Marketing, Video Making, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Operations,"Creatorshala (Mumbai, India)","Delhi, Dubai (United Arab Emirates), Mumbai",Starts immediatelyImmediately,3 Months,"₹ 5,000 - 10,000 /month",16 May' 25,"MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Social Media Marketing,Creatorshala,Work from home,Starts immediatelyImmediately,2 Months,"₹ 5,000 - 10,000 /month",16 May' 25,"Email Marketing, English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Digital Marketing,Creatorshala,Work from home,Starts immediatelyImmediately,2 Months,"₹ 5,000 - 10,000 /month",16 May' 25,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Certificate, Flexible work hours, 5 days a week",N/A
Media & Public Relations (PR),Creatorshala,Work from home,Starts immediatelyImmediately,2 Months,"₹ 5,000 - 10,000 /month",16 May' 25,"Creative Writing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Subject Matter Expert (SME),Final Round AI,Work from home,Starts immediatelyImmediately,2 Months,"₹ 15,000 - 18,000 /month",16 May' 25,"C++ Programming, Next.js, Python, React, Certificate, Flexible work hours, 5 days a week",N/A
Finance & Accounting,Creatorshala,Work from home,Starts immediatelyImmediately,2 Months,"₹ 10,000 - 20,000 /month",16 May' 25,"Accounting, Certificate, Flexible work hours, 5 days a week",N/A
Social Media Marketing,MonkSays Superfoods Private Limited,Hyderabad,Starts immediatelyImmediately,2 Months,"₹ 10,000 - 12,000 /month",16 May' 25,"Creative Writing, Digital Marketing, Facebook Marketing, Social Media Marketing, Telugu Proficiency (Spoken), Telugu Proficiency (Written), Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Free snacks & beverages",N/A
Video Editing/Making,SkillGenic Academy,Work from home,Starts immediatelyImmediately,1 Month,"₹ 5,000 - 15,000 /month",16 May' 25,"Adobe Premiere Pro, Video Editing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Marketing Cum Sales,Edshop Technology Private Limited,Kolkata,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 7,000 /month",16 May' 25,"Client Relationship Management (CRM), Effective Communication, Lead Generation, Marketing, Sales, Social Media Marketing, Certificate, Letter of recommendation, Informal dress code",N/A
Hotel Management (Chef),Choko La,Gurgaon,Starts immediatelyImmediately,6 Months,"₹ 18,000 - 20,000 /month",16 May' 25,Culinary Arts,N/A
Market Research,Street Surge Technologies,Gurgaon                                                    (Hybrid),Starts immediatelyImmediately,2 Months,"₹ 12,000 - 15,000 /month",16 May' 25,"MS-Office, Research and Analytics, Certificate, Letter of recommendation, Flexible work hours, Informal dress code",N/A
Product Trainee,BusinessOnBot,Bangalore,Starts immediatelyImmediately,6 Months,"₹ 15,000 - 25,000 /month",29 Apr' 25,"Client Relationship, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages",N/A
Business Development (Sales),Corpready Academy Private Limited,Gurgaon,Starts immediatelyImmediately,6 Months,"₹ 5,000 /month",16 May' 25,"Blogging, Content Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), MS-Office, Sales, Social Media Marketing, Certificate, Letter of recommendation",N/A
